Sample1	Sample2	Intersection	Union	Jaccard	N_Intersections
A12_S12_human	B12_S24_human	521806	49476834	0.0105465	5646
A12_S12_human	A04_S4_human	548000	48294720	0.011347	5963
A12_S12_human	B10_S22_human	356932	42936852	0.00831295	3717
A12_S12_human	C07_S31_human	140221	32445269	0.00432177	1619
A12_S12_human	C11_S35_human	2180	29113476	7.48794e-05	22
C01_S25_human	A01_S1_human	79775	15178301	0.00525586	848
C01_S25_human	A08_S8_human	83895	14742216	0.0056908	965
C01_S25_human	B07_S19_human	105066	20919279	0.00502245	1076
C01_S25_human	B08_S20_human	73523	12237612	0.00600795	786
C01_S25_human	A05_S5_human	95077	21254096	0.00447335	1012
C01_S25_human	A11_S11_human	69266	17012835	0.0040714	628
C01_S25_human	B12_S24_human	110280	23833323	0.00462713	1151
C01_S25_human	A04_S4_human	105502	22682181	0.00465132	1155
C01_S25_human	B10_S22_human	79984	17158763	0.00466141	758
C01_S25_human	C07_S31_human	44722	6485731	0.00689544	476
C01_S25_human	C11_S35_human	707	3059912	0.000231052	8
A01_S1_human	A08_S8_human	237189	23777914	0.00997518	2895
A01_S1_human	B07_S19_human	268679	29944658	0.00897252	2962
A01_S1_human	B08_S20_human	190700	21309427	0.00894909	2159
A01_S1_human	A05_S5_human	274165	30264000	0.00905911	3062
A01_S1_human	A11_S11_human	167176	26103917	0.00640425	1601
A01_S1_human	B12_S24_human	272717	32859878	0.00829939	2967
A01_S1_human	A04_S4_human	299644	31677031	0.00945935	3386
A01_S1_human	B10_S22_human	189870	26237869	0.00723649	1986
A01_S1_human	C07_S31_human	87516	15631929	0.00559854	1027
A01_S1_human	C11_S35_human	1974	12247637	0.000161174	17
A08_S8_human	B07_S19_human	310159	29471213	0.0105241	3610
A08_S8_human	B08_S20_human	222860	20845302	0.0106911	2667
A08_S8_human	A05_S5_human	303655	29802545	0.0101889	3566
A08_S8_human	A11_S11_human	170977	25668151	0.00666106	1715
A08_S8_human	B12_S24_human	301701	32398929	0.00931207	3474
A08_S8_human	A04_S4_human	335736	31208974	0.0107577	4007
A08_S8_human	B10_S22_human	201580	25794194	0.00781494	2207
A08_S8_human	C07_S31_human	99866	15187614	0.00657549	1222
A08_S8_human	C11_S35_human	1089	11816557	9.21588e-05	9
B07_S19_human	B08_S20_human	277677	26988719	0.0102886	2919
B07_S19_human	A05_S5_human	372992	35931442	0.0103807	4051
B07_S19_human	A11_S11_human	236662	31800700	0.00744204	2208
B07_S19_human	B12_S24_human	426860	38472004	0.0110953	4259
B07_S19_human	A04_S4_human	403593	37339351	0.0108088	4304
B07_S19_human	B10_S22_human	290731	31903277	0.00911289	2849
B07_S19_human	C07_S31_human	118164	21367550	0.00553007	1286
B07_S19_human	C11_S35_human	2955	18012925	0.000164049	22
B08_S20_human	A05_S5_human	245607	27345617	0.00898159	2746
B08_S20_human	A11_S11_human	147766	23176386	0.00637571	1400
B08_S20_human	B12_S24_human	283645	29902009	0.00948582	2968
B08_S20_human	A04_S4_human	274741	28754993	0.00955455	3036
B08_S20_human	B10_S22_human	188423	23292375	0.00808947	1877
B08_S20_human	C07_S31_human	92881	12679623	0.00732522	1055
B08_S20_human	C11_S35_human	1442	9301228	0.000155033	12
A05_S5_human	A11_S11_human	217508	32144682	0.00676653	2072
A05_S5_human	B12_S24_human	386659	38837033	0.00995594	4194
A05_S5_human	A04_S4_human	406757	37661015	0.0108005	4508
A05_S5_human	B10_S22_human	254609	32264227	0.00789137	2688
A05_S5_human	C07_S31_human	111987	21698555	0.00516103	1300
A05_S5_human	C11_S35_human	1963	18338745	0.000107041	15
A11_S11_human	B12_S24_human	248589	34708031	0.00716229	2379
A11_S11_human	A04_S4_human	244914	33555786	0.00729871	2365
A11_S11_human	B10_S22_human	170129	28081635	0.00605837	1573
A11_S11_human	C07_S31_human	72926	17470544	0.00417423	697
A11_S11_human	C11_S35_human	2175	14071461	0.000154568	16
B12_S24_human	A04_S4_human	425552	40236650	0.0105762	4567
B12_S24_human	B10_S22_human	300704	34812562	0.0086378	2912
B12_S24_human	C07_S31_human	125843	24279129	0.00518318	1405
B12_S24_human	C11_S35_human	2182	20932956	0.000104238	18
A04_S4_human	B10_S22_human	277116	33680230	0.00822785	2879
A04_S4_human	C07_S31_human	118248	23130804	0.00511214	1345
A04_S4_human	C11_S35_human	1311	19777907	6.62861e-05	13
B10_S22_human	C07_S31_human	84430	17615686	0.00479289	901
B10_S22_human	C11_S35_human	1802	14228480	0.000126647	12
C07_S31_human	C11_S35_human	926	3521062	0.000262989	11
